split,source_file,model,R2,RMSE,MAE,Pearson_r,Spearman_rho
val,baseline_results.csv,Ridge (ESM-2),0.9166558980941772,0.1518725725949337,0.1067287847399711,0.9574272632598876,0.934510854409201
val,baseline_results.csv,XGBoost (ESM-2),0.90572327375412,0.1615266149224493,0.1125899031758308,0.951787531375885,0.9240835628227958
test,05_evaluate.py,Ridge (ESM-2),0.9162470102310181,0.15196103538771652,0.1061573475599289,0.9572116732597351,0.933665435750113
test,05_evaluate.py,XGBoost (ESM-2),0.9066827297210693,0.16040322404330098,0.1122949942946434,0.9522395730018616,0.9242330993796603
