model,R2,RMSE,MAE,Pearson_r,Spearman_rho
Ridge (ESM-2),0.9166558980941772,0.15187257259493378,0.10672878473997116,0.9574272632598877,0.934510854409201
XGBoost (ESM-2),0.9057232737541199,0.16152661492244938,0.11258990317583084,0.951787531375885,0.9240835628227958
